Fecha (dd/mm/aaaa);Indice;Variación diaria absoluta (%);Variación diaria porcentual (%)
15/01/2008 12:00:00 a.m.;980.21;-19.79;-1.98
16/01/2008 12:00:00 a.m.;958.99;-21.22;-2.16
17/01/2008 12:00:00 a.m.;928.38;-30.61;-3.19
18/01/2008 12:00:00 a.m.;903.49;-24.90;-2.68
21/01/2008 12:00:00 a.m.;832.37;-71.12;-7.87
22/01/2008 12:00:00 a.m.;879.67;47.30;5.68
23/01/2008 12:00:00 a.m.;890.90;11.23;1.28
24/01/2008 12:00:00 a.m.;933.79;42.89;4.81
25/01/2008 12:00:00 a.m.;939.61;5.82;0.62
28/01/2008 12:00:00 a.m.;930.97;-8.63;-0.92
29/01/2008 12:00:00 a.m.;946.51;15.54;1.67
30/01/2008 12:00:00 a.m.;936.55;-9.96;-1.05
31/01/2008 12:00:00 a.m.;937.33;0.77;0.08
01/02/2008 12:00:00 a.m.;938.16;0.83;0.09
04/02/2008 12:00:00 a.m.;945.18;7.03;0.75
05/02/2008 12:00:00 a.m.;920.47;-24.71;-2.61
06/02/2008 12:00:00 a.m.;900.89;-19.58;-2.13
07/02/2008 12:00:00 a.m.;891.30;-9.59;-1.06
08/02/2008 12:00:00 a.m.;906.03;14.72;1.65
11/02/2008 12:00:00 a.m.;920.78;14.75;1.63
12/02/2008 12:00:00 a.m.;915.74;-5.04;-0.55
13/02/2008 12:00:00 a.m.;918.85;3.11;0.34
14/02/2008 12:00:00 a.m.;928.67;9.82;1.07
15/02/2008 12:00:00 a.m.;929.63;0.96;0.10
18/02/2008 12:00:00 a.m.;944.25;14.61;1.57
19/02/2008 12:00:00 a.m.;945.40;1.15;0.12
20/02/2008 12:00:00 a.m.;941.38;-4.02;-0.43
21/02/2008 12:00:00 a.m.;944.38;3.00;0.32
22/02/2008 12:00:00 a.m.;940.05;-4.33;-0.46
25/02/2008 12:00:00 a.m.;938.49;-1.57;-0.17
26/02/2008 12:00:00 a.m.;938.58;0.09;0.01
27/02/2008 12:00:00 a.m.;935.15;-3.43;-0.36
28/02/2008 12:00:00 a.m.;931.03;-4.12;-0.44
29/02/2008 12:00:00 a.m.;914.90;-16.13;-1.73
03/03/2008 12:00:00 a.m.;896.73;-18.17;-1.99
04/03/2008 12:00:00 a.m.;859.79;-36.94;-4.12
05/03/2008 12:00:00 a.m.;897.61;37.82;4.40
06/03/2008 12:00:00 a.m.;889.83;-7.78;-0.87
07/03/2008 12:00:00 a.m.;900.79;10.96;1.23
10/03/2008 12:00:00 a.m.;907.83;7.04;0.78
11/03/2008 12:00:00 a.m.;911.72;3.89;0.43
12/03/2008 12:00:00 a.m.;914.89;3.18;0.35
13/03/2008 12:00:00 a.m.;912.75;-2.15;-0.23
14/03/2008 12:00:00 a.m.;902.13;-10.62;-1.16
17/03/2008 12:00:00 a.m.;890.57;-11.55;-1.28
18/03/2008 12:00:00 a.m.;899.67;9.10;1.02
19/03/2008 12:00:00 a.m.;902.56;2.89;0.32
25/03/2008 12:00:00 a.m.;895.08;-7.48;-0.83
26/03/2008 12:00:00 a.m.;891.73;-3.35;-0.37
27/03/2008 12:00:00 a.m.;887.89;-3.84;-0.43
28/03/2008 12:00:00 a.m.;890.03;2.14;0.24
31/03/2008 12:00:00 a.m.;889.28;-0.74;-0.08
01/04/2008 12:00:00 a.m.;913.73;24.45;2.75
02/04/2008 12:00:00 a.m.;919.30;5.57;0.61
03/04/2008 12:00:00 a.m.;923.04;3.74;0.41
04/04/2008 12:00:00 a.m.;922.00;-1.04;-0.11
07/04/2008 12:00:00 a.m.;928.32;6.33;0.69
08/04/2008 12:00:00 a.m.;930.57;2.25;0.24
09/04/2008 12:00:00 a.m.;936.53;5.95;0.64
10/04/2008 12:00:00 a.m.;922.05;-14.47;-1.55
11/04/2008 12:00:00 a.m.;917.73;-4.32;-0.47
14/04/2008 12:00:00 a.m.;917.57;-0.16;-0.02
